session_date,window_minutes,window_range_points,session_range_points,range_share,window_high_is_session_high,window_low_is_session_low,window_contains_one_extreme,window_contains_both_extremes
2017-04-18,5,11.25,29.25,0.38461538461538464,False,False,False,False
2017-04-18,15,17.0,29.25,0.5811965811965812,False,False,False,False
2017-04-18,30,27.25,29.25,0.9316239316239316,False,False,False,False
2017-04-18,60,28.0,29.25,0.9572649572649573,True,False,True,False
2017-04-18,120,28.0,29.25,0.9572649572649573,True,False,True,False
2017-04-19,5,9.0,40.75,0.22085889570552147,False,False,False,False
2017-04-19,15,10.75,40.75,0.26380368098159507,False,False,False,False
2017-04-19,30,16.75,40.75,0.4110429447852761,False,False,False,False
2017-04-19,60,16.75,40.75,0.4110429447852761,False,False,False,False
2017-04-19,120,18.75,40.75,0.4601226993865031,True,False,True,False
2017-04-20,5,8.5,43.75,0.19428571428571428,False,False,False,False
2017-04-20,15,11.75,43.75,0.26857142857142857,False,False,False,False
2017-04-20,30,16.25,43.75,0.37142857142857144,False,True,True,False
2017-04-20,60,18.25,43.75,0.41714285714285715,False,True,True,False
2017-04-20,120,18.25,43.75,0.41714285714285715,False,True,True,False
2017-04-21,5,10.5,22.25,0.47191011235955055,False,False,False,False
2017-04-21,15,11.25,22.25,0.5056179775280899,False,False,False,False
2017-04-21,30,14.5,22.25,0.651685393258427,False,False,False,False
2017-04-21,60,14.5,22.25,0.651685393258427,False,False,False,False
2017-04-21,120,14.5,22.25,0.651685393258427,False,False,False,False
2017-04-24,5,7.0,20.5,0.34146341463414637,False,False,False,False
2017-04-24,15,11.75,20.5,0.573170731707317,False,True,True,False
2017-04-24,30,13.5,20.5,0.6585365853658537,False,True,True,False
2017-04-24,60,17.0,20.5,0.8292682926829268,False,True,True,False
2017-04-24,120,17.0,20.5,0.8292682926829268,False,True,True,False
2017-04-25,5,5.0,36.5,0.136986301369863,False,True,True,False
2017-04-25,15,7.25,36.5,0.19863013698630136,False,True,True,False
2017-04-25,30,8.5,36.5,0.2328767123287671,False,True,True,False
2017-04-25,60,17.5,36.5,0.4794520547945205,False,True,True,False
2017-04-25,120,20.5,36.5,0.5616438356164384,False,True,True,False
2017-04-26,5,14.75,27.5,0.5363636363636364,True,False,True,False
2017-04-26,15,16.75,27.5,0.6090909090909091,True,False,True,False
2017-04-26,30,18.25,27.5,0.6636363636363637,True,False,True,False
2017-04-26,60,19.5,27.5,0.7090909090909091,True,False,True,False
2017-04-26,120,20.0,27.5,0.7272727272727273,True,False,True,False
2017-04-27,5,5.5,51.0,0.10784313725490197,False,False,False,False
2017-04-27,15,7.25,51.0,0.14215686274509803,False,True,True,False
2017-04-27,30,11.25,51.0,0.22058823529411764,False,True,True,False
2017-04-27,60,17.75,51.0,0.3480392156862745,False,True,True,False
2017-04-27,120,17.75,51.0,0.3480392156862745,False,True,True,False
2017-04-28,5,7.25,23.75,0.30526315789473685,True,False,True,False
2017-04-28,15,12.75,23.75,0.5368421052631579,True,False,True,False
2017-04-28,30,18.25,23.75,0.7684210526315789,True,False,True,False
2017-04-28,60,20.0,23.75,0.8421052631578947,True,False,True,False
2017-04-28,120,20.0,23.75,0.8421052631578947,True,False,True,False
2017-05-01,5,7.0,40.75,0.17177914110429449,False,True,True,False
2017-05-01,15,9.0,40.75,0.22085889570552147,False,True,True,False
2017-05-01,30,12.0,40.75,0.294478527607362,False,True,True,False
2017-05-01,60,12.75,40.75,0.3128834355828221,False,True,True,False
2017-05-01,120,22.25,40.75,0.5460122699386503,False,True,True,False
2017-05-02,5,7.0,19.25,0.36363636363636365,False,False,False,False
2017-05-02,15,10.0,19.25,0.5194805194805194,False,False,False,False
2017-05-02,30,14.0,19.25,0.7272727272727273,False,False,False,False
2017-05-02,60,16.0,19.25,0.8311688311688312,False,True,True,False
2017-05-02,120,16.0,19.25,0.8311688311688312,False,True,True,False
2017-05-03,5,8.75,23.0,0.3804347826086957,True,False,True,False
2017-05-03,15,12.75,23.0,0.5543478260869565,True,False,True,False
2017-05-03,30,12.75,23.0,0.5543478260869565,True,False,True,False
2017-05-03,60,20.75,23.0,0.9021739130434783,True,False,True,False
2017-05-03,120,23.0,23.0,1.0,True,True,True,True
2017-05-04,5,10.25,27.25,0.3761467889908257,False,False,False,False
2017-05-04,15,20.5,27.25,0.7522935779816514,False,False,False,False
2017-05-04,30,22.75,27.25,0.8348623853211009,False,True,True,False
2017-05-04,60,22.75,27.25,0.8348623853211009,False,True,True,False
2017-05-04,120,22.75,27.25,0.8348623853211009,False,True,True,False
2017-05-05,5,5.0,33.25,0.15037593984962405,False,False,False,False
2017-05-05,15,10.0,33.25,0.3007518796992481,False,False,False,False
2017-05-05,30,14.25,33.25,0.42857142857142855,False,False,False,False
2017-05-05,60,21.0,33.25,0.631578947368421,False,False,False,False
2017-05-05,120,23.25,33.25,0.6992481203007519,False,True,True,False
2017-05-08,5,7.75,21.5,0.36046511627906974,False,False,False,False
2017-05-08,15,12.5,21.5,0.5813953488372093,False,False,False,False
2017-05-08,30,12.75,21.5,0.5930232558139535,False,False,False,False
2017-05-08,60,14.25,21.5,0.6627906976744186,False,False,False,False
2017-05-08,120,17.5,21.5,0.813953488372093,False,True,True,False
2017-05-09,5,9.0,29.0,0.3103448275862069,False,True,True,False
2017-05-09,15,13.0,29.0,0.4482758620689655,False,True,True,False
2017-05-09,30,19.0,29.0,0.6551724137931034,False,True,True,False
2017-05-09,60,29.0,29.0,1.0,True,True,True,True
2017-05-09,120,29.0,29.0,1.0,True,True,True,True
2017-05-10,5,6.75,21.5,0.313953488372093,False,False,False,False
2017-05-10,15,12.5,21.5,0.5813953488372093,False,False,False,False
2017-05-10,30,17.0,21.5,0.7906976744186046,False,False,False,False
2017-05-10,60,20.0,21.5,0.9302325581395349,False,False,False,False
2017-05-10,120,21.0,21.5,0.9767441860465116,False,True,True,False
2017-05-11,5,4.0,38.5,0.1038961038961039,False,False,False,False
2017-05-11,15,8.0,38.5,0.2077922077922078,False,False,False,False
2017-05-11,30,26.25,38.5,0.6818181818181818,False,False,False,False
2017-05-11,60,30.75,38.5,0.7987012987012987,False,False,False,False
2017-05-11,120,32.0,38.5,0.8311688311688312,False,True,True,False
2017-05-12,5,7.25,19.0,0.3815789473684211,False,False,False,False
2017-05-12,15,8.75,19.0,0.4605263157894737,False,False,False,False
2017-05-12,30,10.5,19.0,0.5526315789473685,False,False,False,False
2017-05-12,60,11.75,19.0,0.618421052631579,False,False,False,False
2017-05-12,120,12.0,19.0,0.631578947368421,False,True,True,False
2017-05-15,5,8.75,24.0,0.3645833333333333,False,True,True,False
2017-05-15,15,13.75,24.0,0.5729166666666666,False,True,True,False
2017-05-15,30,17.0,24.0,0.7083333333333334,False,True,True,False
2017-05-15,60,17.5,24.0,0.7291666666666666,False,True,True,False
2017-05-15,120,24.0,24.0,1.0,True,True,True,True
2017-05-16,5,6.0,26.5,0.22641509433962265,False,False,False,False
2017-05-16,15,8.75,26.5,0.330188679245283,False,False,False,False
2017-05-16,30,10.25,26.5,0.3867924528301887,False,False,False,False
2017-05-16,60,16.75,26.5,0.6320754716981132,False,False,False,False
2017-05-16,120,18.5,26.5,0.6981132075471698,False,True,True,False
2017-05-17,5,9.75,117.75,0.08280254777070063,False,False,False,False
2017-05-17,15,14.75,117.75,0.12526539278131635,True,False,True,False
2017-05-17,30,28.5,117.75,0.24203821656050956,True,False,True,False
2017-05-17,60,39.5,117.75,0.3354564755838641,True,False,True,False
2017-05-17,120,71.75,117.75,0.6093418259023354,True,False,True,False
2017-05-18,5,19.0,76.0,0.25,False,True,True,False
2017-05-18,15,29.5,76.0,0.3881578947368421,False,True,True,False
2017-05-18,30,35.75,76.0,0.47039473684210525,False,True,True,False
2017-05-18,60,62.0,76.0,0.8157894736842105,False,True,True,False
2017-05-18,120,64.75,76.0,0.8519736842105263,False,True,True,False
2017-05-19,5,11.0,30.5,0.36065573770491804,False,True,True,False
2017-05-19,15,17.0,30.5,0.5573770491803278,False,True,True,False
2017-05-19,30,22.25,30.5,0.7295081967213115,False,True,True,False
2017-05-19,60,26.25,30.5,0.860655737704918,False,True,True,False
2017-05-19,120,27.25,30.5,0.8934426229508197,False,True,True,False
2017-05-22,5,14.5,41.0,0.35365853658536583,False,True,True,False
2017-05-22,15,18.75,41.0,0.4573170731707317,False,True,True,False
2017-05-22,30,21.75,41.0,0.5304878048780488,False,True,True,False
2017-05-22,60,23.25,41.0,0.5670731707317073,False,True,True,False
2017-05-22,120,26.25,41.0,0.6402439024390244,False,True,True,False
2017-05-23,5,9.25,26.0,0.3557692307692308,True,False,True,False
2017-05-23,15,16.0,26.0,0.6153846153846154,True,False,True,False
2017-05-23,30,23.25,26.0,0.8942307692307693,True,False,True,False
2017-05-23,60,23.25,26.0,0.8942307692307693,True,False,True,False
2017-05-23,120,23.25,26.0,0.8942307692307693,True,False,True,False
2017-05-24,5,7.0,27.75,0.25225225225225223,False,False,False,False
2017-05-24,15,13.75,27.75,0.4954954954954955,False,False,False,False
2017-05-24,30,13.75,27.75,0.4954954954954955,False,False,False,False
2017-05-24,60,17.25,27.75,0.6216216216216216,False,True,True,False
2017-05-24,120,17.25,27.75,0.6216216216216216,False,True,True,False
2017-05-25,5,9.0,54.5,0.1651376146788991,False,False,False,False
2017-05-25,15,13.0,54.5,0.23853211009174313,False,True,True,False
2017-05-25,30,13.75,54.5,0.25229357798165136,False,True,True,False
2017-05-25,60,25.0,54.5,0.45871559633027525,False,True,True,False
