session_date,start,end,bars,open,high,low,close,volume,range_points,close_to_open_points
2017-04-17,2017-04-17 17:55:00,2017-04-17 22:59:00,290,5381.0,5399.5,5378.75,5397.75,68256,20.75,16.75
2017-04-18,2017-04-18 15:30:00,2017-04-18 22:59:00,435,5378.5,5405.25,5376.0,5391.75,206441,29.25,13.25
2017-04-19,2017-04-19 15:30:00,2017-04-19 22:59:00,435,5412.0,5430.75,5390.0,5394.5,184083,40.75,-17.5
2017-04-20,2017-04-20 15:30:00,2017-04-20 22:59:00,435,5420.0,5454.75,5411.0,5444.25,200440,43.75,24.25
2017-04-21,2017-04-21 15:30:00,2017-04-21 22:59:00,435,5447.0,5449.75,5427.5,5436.0,158389,22.25,-11.0
2017-04-24,2017-04-24 15:30:00,2017-04-24 22:59:00,435,5501.25,5512.75,5492.25,5503.5,156555,20.5,2.25
2017-04-25,2017-04-25 15:30:00,2017-04-25 22:59:00,435,5524.75,5557.25,5520.75,5547.25,138156,36.5,22.5
2017-04-26,2017-04-26 15:30:00,2017-04-26 22:59:00,435,5549.0,5562.5,5535.0,5535.0,194505,27.5,-14.0
2017-04-27,2017-04-27 15:30:00,2017-04-27 22:59:00,435,5552.75,5599.0,5548.0,5586.5,164816,51.0,33.75
2017-04-28,2017-04-28 15:30:00,2017-04-28 22:59:00,434,5592.75,5595.5,5571.75,5581.0,153157,23.75,-11.75
2017-05-01,2017-05-01 15:30:00,2017-05-01 22:59:00,435,5599.75,5637.25,5596.5,5632.0,147608,40.75,32.25
2017-05-02,2017-05-02 15:30:00,2017-05-02 22:59:00,435,5637.25,5641.75,5622.5,5622.75,143129,19.25,-14.5
2017-05-03,2017-05-03 15:30:00,2017-05-03 22:59:00,435,5628.25,5629.0,5606.0,5610.25,176918,23.0,-18.0
2017-05-04,2017-05-04 15:30:00,2017-05-04 22:59:00,435,5621.5,5631.0,5603.75,5628.0,190548,27.25,6.5
2017-05-05,2017-05-05 15:30:00,2017-05-05 22:59:00,435,5637.75,5649.5,5616.25,5649.0,136335,33.25,11.25
2017-05-08,2017-05-08 15:30:00,2017-05-08 22:59:00,435,5646.25,5656.0,5634.5,5655.25,127183,21.5,9.0
2017-05-09,2017-05-09 15:30:00,2017-05-09 22:59:00,435,5662.5,5687.75,5658.75,5680.5,167958,29.0,18.0
2017-05-10,2017-05-10 15:30:00,2017-05-10 22:59:00,434,5678.0,5679.75,5658.25,5675.5,146414,21.5,-2.5
2017-05-11,2017-05-11 15:30:00,2017-05-11 22:59:00,434,5662.75,5674.75,5636.25,5670.75,206283,38.5,8.0
2017-05-12,2017-05-12 15:30:00,2017-05-12 22:59:00,435,5675.5,5689.75,5670.75,5689.5,147869,19.0,14.0
2017-05-15,2017-05-15 15:30:00,2017-05-15 22:59:00,435,5686.5,5706.5,5682.5,5704.75,149260,24.0,18.25
2017-05-16,2017-05-16 15:30:00,2017-05-16 22:59:00,435,5716.25,5727.25,5700.75,5724.5,151911,26.5,8.25
2017-05-17,2017-05-17 15:30:00,2017-05-17 22:59:00,435,5682.0,5692.5,5574.75,5576.5,412237,117.75,-105.5
2017-05-18,2017-05-18 15:30:00,2017-05-18 22:59:00,435,5580.75,5648.5,5572.5,5633.0,407331,76.0,52.25
2017-05-19,2017-05-19 15:30:00,2017-05-19 22:59:00,435,5648.0,5676.5,5646.0,5655.25,242589,30.5,7.25
2017-05-22,2017-05-22 15:30:00,2017-05-22 22:59:00,435,5665.5,5704.25,5663.25,5703.0,166736,41.0,37.5
2017-05-23,2017-05-23 15:30:00,2017-05-23 22:59:00,435,5717.5,5717.5,5691.5,5710.75,179632,26.0,-6.75
2017-05-24,2017-05-24 15:30:00,2017-05-24 22:59:00,435,5723.25,5734.5,5706.75,5733.5,160787,27.75,10.25
2017-05-25,2017-05-25 15:30:00,2017-05-25 22:59:00,435,5753.5,5795.5,5741.0,5783.25,194526,54.5,29.75
2017-05-26,2017-05-26 15:30:00,2017-05-26 22:59:00,435,5782.0,5796.5,5773.75,5795.5,127474,22.75,13.5
2017-05-29,2017-05-29 15:30:00,2017-05-29 18:59:00,204,5800.75,5801.5,5792.0,5796.0,5813,9.5,-4.75
2017-05-30,2017-05-30 15:30:00,2017-05-30 22:59:00,435,5786.75,5802.75,5784.0,5794.0,146143,18.75,7.25
2017-05-31,2017-05-31 15:30:00,2017-05-31 22:59:00,435,5814.0,5815.75,5763.75,5804.75,289692,52.0,-9.25
2017-06-01,2017-06-01 15:30:00,2017-06-01 22:59:00,435,5805.25,5824.0,5780.5,5823.0,224590,43.5,17.75
2017-06-02,2017-06-02 15:30:00,2017-06-02 22:59:00,435,5836.0,5886.75,5826.25,5885.25,239159,60.5,49.25
2017-06-05,2017-06-05 15:30:00,2017-06-05 22:59:00,435,5881.5,5891.25,5872.75,5881.0,150871,18.5,-0.5
2017-06-06,2017-06-06 15:30:00,2017-06-06 22:59:00,434,5874.75,5893.25,5848.5,5863.0,216078,44.75,-11.75
2017-06-07,2017-06-07 15:30:00,2017-06-07 22:59:00,433,5872.5,5884.75,5845.75,5879.0,240803,39.0,6.5
2017-06-08,2017-06-08 15:30:00,2017-06-08 22:59:00,435,5893.0,5895.25,5853.5,5891.0,188302,41.75,-2.0
2017-06-09,2017-06-09 15:30:00,2017-06-09 22:59:00,435,5892.25,5898.75,5660.25,5737.25,277988,238.5,-155.0
2017-06-12,2017-06-12 15:30:00,2017-06-12 22:59:00,432,5689.75,5716.75,5634.5,5714.25,143151,82.25,24.5
2017-06-13,2017-06-13 15:30:00,2017-06-13 22:59:00,435,5746.25,5768.5,5716.0,5762.25,284261,52.5,16.0
2017-06-14,2017-06-14 15:30:00,2017-06-14 22:59:00,434,5781.75,5783.25,5687.0,5729.75,344647,96.25,-52.0
2017-06-15,2017-06-15 15:30:00,2017-06-15 22:59:00,435,5676.25,5715.0,5641.25,5710.25,330241,73.75,34.0
2017-06-16,2017-06-16 15:30:00,2017-06-16 22:59:00,435,5706.75,5707.5,5661.0,5691.75,292444,46.5,-15.0
2017-06-19,2017-06-19 15:30:00,2017-06-19 22:59:00,435,5735.25,5782.5,5728.0,5770.0,224453,54.5,34.75
2017-06-20,2017-06-20 15:30:00,2017-06-20 22:59:00,435,5770.25,5778.25,5729.0,5732.0,256303,49.25,-38.25
2017-06-21,2017-06-21 15:30:00,2017-06-21 22:59:00,435,5743.5,5796.5,5740.0,5795.75,261070,56.5,52.25
2017-06-22,2017-06-22 15:30:00,2017-06-22 22:59:00,434,5795.0,5807.25,5770.75,5785.0,191511,36.5,-10.0
2017-06-23,2017-06-23 15:30:00,2017-06-23 22:59:00,434,5779.25,5815.5,5763.0,5805.5,186528,52.5,26.25
2017-06-26,2017-06-26 15:30:00,2017-06-26 22:59:00,435,5839.75,5852.0,5768.0,5780.0,275302,84.0,-59.75
2017-06-27,2017-06-27 15:30:00,2017-06-27 22:59:00,435,5759.0,5765.0,5669.0,5674.0,362351,96.0,-85.0
2017-06-28,2017-06-28 15:30:00,2017-06-28 22:59:00,435,5695.25,5768.75,5662.5,5767.0,312049,106.25,71.75
2017-06-29,2017-06-29 15:30:00,2017-06-29 22:59:00,435,5732.0,5733.0,5601.0,5650.25,544023,132.0,-81.75
2017-06-30,2017-06-30 15:30:00,2017-06-30 22:59:00,435,5673.5,5686.5,5639.25,5657.5,262983,47.25,-16.0
2017-07-03,2017-07-03 15:30:00,2017-07-03 19:14:00,225,5683.5,5690.75,5581.25,5589.25,195749,109.5,-94.25
2017-07-04,2017-07-04 15:30:00,2017-07-04 18:59:00,210,5609.0,5614.0,5560.25,5580.75,22718,53.75,-28.25
2017-07-05,2017-07-05 15:30:00,2017-07-05 22:59:00,435,5612.5,5667.75,5595.25,5651.0,284504,72.5,38.5
2017-07-06,2017-07-06 15:30:00,2017-07-06 22:59:00,435,5607.25,5632.0,5580.0,5597.25,313134,52.0,-10.0
2017-07-07,2017-07-07 15:30:00,2017-07-07 22:59:00,435,5619.0,5676.5,5618.25,5657.25,218424,58.25,38.25
2017-07-10,2017-07-10 15:30:00,2017-07-10 22:59:00,433,5664.0,5711.5,5650.0,5693.75,202234,61.5,29.75
2017-07-11,2017-07-11 15:30:00,2017-07-11 22:59:00,434,5688.0,5722.5,5667.5,5719.5,248399,55.0,31.5
2017-07-12,2017-07-12 15:30:00,2017-07-12 22:59:00,435,5761.5,5790.0,5751.0,5787.0,213084,39.0,25.5
2017-07-13,2017-07-13 15:30:00,2017-07-13 22:59:00,435,5786.75,5808.5,5777.25,5799.5,203786,31.25,12.75
2017-07-14,2017-07-14 15:30:00,2017-07-14 22:59:00,435,5818.5,5847.75,5802.0,5847.0,181071,45.75,28.5
2017-07-17,2017-07-17 15:30:00,2017-07-17 22:59:00,435,5845.75,5863.75,5831.25,5859.0,190406,32.5,13.25
