bucket,observations,avg_range_points,median_range_points,avg_abs_close_to_open_points,median_abs_close_to_open_points,avg_volume
000-059,131100,15.1803,12.5,7.5469,4.75,1889.03
060-119,131100,11.0358,9.0,5.457,3.5,1182.14
120-179,131100,8.9731,7.25,4.4518,2.75,875.34
180-239,131100,8.0752,6.25,4.0269,2.5,716.22
240-299,131100,8.1091,6.25,4.0048,2.5,717.85
300-359,130974,8.4437,6.5,4.1674,2.5,770.65
360-419,130786,7.7932,5.5,3.8847,2.0,876.49
420-479,51766,3.617,2.5,1.833,1.0,121.81
480-539,720,9.6931,6.75,5.0319,2.5,896.7
540-599,720,7.1378,5.0,3.5927,1.75,666.51
600-659,720,7.1069,4.75,3.5413,1.5,585.12
660-719,720,6.3764,4.25,3.3535,1.5,525.07
720-779,720,6.0569,4.5,3.0729,1.625,551.29
780-839,697,5.9849,4.0,3.0316,1.5,732.98
840-899,232,2.945,2.25,1.5399,1.0,91.27
