bucket,observations,avg_range_points,median_range_points,avg_abs_close_to_open_points,median_abs_close_to_open_points,avg_volume
0,2185,25.0005,21.75,12.4557,8.25,4603.89
1,2185,22.4241,19.75,11.8968,8.25,3380.29
2,2185,20.3816,18.0,10.345,6.75,3013.57
3,2185,18.9033,16.75,9.6476,6.5,2707.54
4,2185,18.1283,16.0,9.1428,6.75,2567.61
5,2185,19.5232,16.75,9.7112,6.75,2892.79
6,2185,18.0922,15.25,9.0166,6.0,2563.99
7,2185,16.9307,14.25,8.3284,5.5,2298.78
8,2185,16.5769,14.25,8.2554,5.5,2196.87
9,2185,16.1013,13.75,7.9705,5.25,2141.97
10,2185,18.231,15.5,9.0815,6.0,2458.72
11,2185,16.5183,13.75,8.2556,5.5,2098.11
12,2185,15.9509,13.25,7.8119,5.25,2024.09
13,2185,15.5683,12.75,7.7959,5.0,1883.95
14,2185,15.1696,12.75,7.3843,4.75,1841.26
15,2185,18.397,15.5,9.2223,6.0,2403.75
16,2185,16.3336,13.75,8.1669,5.25,2051.64
17,2185,15.4841,12.75,7.8094,5.0,1910.61
18,2185,15.5039,13.25,7.7299,5.0,1935.54
19,2185,15.1498,12.5,7.5731,4.75,1834.86
20,2185,16.8478,14.25,8.5706,5.75,2114.45
21,2185,15.5983,12.75,7.799,5.0,1898.51
22,2185,14.8565,12.5,7.3013,4.75,1784.27
23,2185,14.3323,12.0,7.0951,4.5,1721.93
24,2185,14.0154,11.75,6.7137,4.25,1711.24
25,2185,14.8895,12.25,7.2411,4.75,1785.11
26,2185,14.1665,11.75,7.1473,4.75,1640.55
27,2185,13.4435,11.5,6.4572,4.5,1564.46
28,2185,12.9026,10.75,6.336,4.25,1438.69
29,2185,12.9111,10.75,6.2762,4.0,1370.01
30,2185,21.2788,16.5,10.7211,7.0,2477.72
31,2185,16.4642,14.0,8.0643,5.25,2054.44
32,2185,15.3227,12.75,7.4452,5.0,1892.35
33,2185,14.2505,12.0,6.8415,4.5,1738.38
34,2185,13.8477,11.5,6.6873,4.25,1672.0
35,2185,14.9474,12.75,7.3414,5.0,1808.05
36,2185,14.7587,12.0,7.3435,4.75,1750.66
37,2185,14.0096,11.5,7.0783,4.5,1614.13
38,2185,13.57,11.25,6.7134,4.25,1578.32
39,2185,12.9959,10.75,6.3873,4.25,1525.92
40,2185,14.6276,12.25,7.2851,4.75,1711.22
41,2185,13.9405,11.5,7.0841,4.5,1567.36
42,2185,13.9704,11.75,7.0443,4.5,1590.01
43,2185,13.2228,11.0,6.5794,4.0,1500.56
44,2185,12.7738,10.5,6.0783,4.0,1483.49
45,2185,14.3709,12.25,7.0641,4.75,1731.21
46,2185,13.6941,11.5,6.763,4.25,1554.17
47,2185,13.0343,10.5,6.4605,4.0,1467.29
48,2185,12.811,10.25,6.3281,4.0,1436.3
49,2185,12.2034,10.0,6.0024,3.75,1392.24
50,2185,13.5429,11.25,6.5021,4.25,1539.46
51,2185,13.1437,11.0,6.5764,4.25,1439.9
52,2185,12.9753,10.25,6.51,3.75,1415.77
53,2185,12.4767,10.0,6.3033,3.75,1354.25
54,2185,12.3987,10.25,6.2176,3.75,1372.07
