exit_mode,hold_bars,stop_points,risk_reward,trades,net_total_points,net_total_dollars,net_avg_points,net_avg_dollars,win_rate,avg_win_points,avg_loss_points,median_net_points,profit_factor,max_drawdown_points,max_drawdown_dollars,max_recovery_trades
bracket_only,15,30.0,2.5,963,2735.5,54710.0,2.8406,56.81,0.3811,76.9448,-42.7907,-30.0,1.1073,-2012.25,-40245.0,320
bracket_only,60,30.0,2.5,963,1792.5,35850.0,1.8614,37.23,0.3468,66.4686,-32.4452,-30.0,1.0878,-1120.5,-22410.0,324
bracket_with_time_stop,15,20.0,2.0,963,947.5,18950.0,0.9839,19.68,0.3998,30.8318,-18.9631,-20.0,1.0867,-560.75,-11215.0,257
bracket_with_time_stop,15,30.0,2.5,963,1170.25,23405.0,1.2152,24.3,0.4226,38.2445,-26.0784,-12.75,1.0813,-911.5,-18230.0,207
bracket_with_time_stop,15,15.0,2.5,963,734.25,14685.0,0.7625,15.25,0.3448,29.878,-14.6029,-15.0,1.0799,-620.75,-12415.0,257
bracket_with_time_stop,60,20.0,2.0,963,930.25,18605.0,0.966,19.32,0.3707,35.7969,-19.5532,-20.0,1.0785,-560.0,-11200.0,257
bracket_only,60,15.0,2.5,963,773.0,15460.0,0.8027,16.05,0.3084,36.6465,-15.1817,-15.0,1.0765,-585.0,-11700.0,194
bracket_with_time_stop,15,30.0,1.5,963,1015.25,20305.0,1.0543,21.09,0.4652,31.9654,-26.0377,-5.75,1.0763,-866.75,-17335.0,310
bracket_with_time_stop,60,30.0,2.5,963,1291.5,25830.0,1.3411,26.82,0.3634,53.3043,-28.3279,-30.0,1.0744,-898.75,-17975.0,200
bracket_only,60,30.0,1.5,963,1243.5,24870.0,1.2913,25.83,0.433,43.5456,-30.9799,-30.0,1.0735,-1246.0,-24920.0,342
bracket_with_time_stop,15,20.0,1.5,963,679.0,13580.0,0.7051,14.1,0.4413,25.5971,-18.9939,-20.0,1.0666,-641.0,-12820.0,257
bracket_with_time_stop,60,15.0,2.5,963,639.0,12780.0,0.6636,13.27,0.3178,34.085,-14.9026,-15.0,1.0653,-585.0,-11700.0,195
bracket_with_time_stop,15,25.0,1.5,963,743.0,14860.0,0.7715,15.43,0.4507,29.5196,-22.9004,-11.25,1.0616,-677.25,-13545.0,310
bracket_with_time_stop,60,30.0,1.5,963,925.0,18500.0,0.9605,19.21,0.4372,38.5505,-28.2375,-30.0,1.0604,-867.75,-17355.0,257
bracket_only,60,20.0,2.0,963,773.25,15465.0,0.803,16.06,0.3645,38.7058,-20.9355,-20.0,1.0604,-835.5,-16710.0,362
bracket_with_time_stop,15,30.0,2.0,963,806.5,16130.0,0.8375,16.75,0.433,35.786,-26.0447,-11.25,1.0571,-828.5,-16570.0,214
bracket_only,60,30.0,2.0,963,1040.25,20805.0,1.0802,21.6,0.378,55.5275,-32.0063,-30.0,1.0543,-1231.25,-24625.0,362
bracket_with_time_stop,15,15.0,2.0,963,457.25,9145.0,0.4748,9.5,0.3749,25.5713,-14.599,-15.0,1.0521,-594.5,-11890.0,383
bracket_with_time_stop,15,20.0,2.5,963,560.5,11210.0,0.582,11.64,0.3697,33.8146,-18.9711,-20.0,1.0488,-721.25,-14425.0,289
bracket_with_time_stop,60,20.0,2.5,963,590.75,11815.0,0.6134,12.27,0.3271,42.0881,-19.5478,-20.0,1.0466,-837.75,-16755.0,275
bracket_only,15,20.0,2.5,963,756.0,15120.0,0.785,15.7,0.3396,52.1827,-25.6411,-20.0,1.0464,-1202.75,-24055.0,508
bracket_only,60,15.0,2.0,963,389.0,7780.0,0.4039,8.08,0.3437,29.9456,-15.068,-15.0,1.0408,-600.0,-12000.0,451
bracket_with_time_stop,60,30.0,2.0,963,667.75,13355.0,0.6934,13.87,0.3853,46.9825,-28.3155,-30.0,1.0398,-886.0,-17720.0,257
bracket_only,60,20.0,2.5,963,538.25,10765.0,0.5589,11.18,0.3167,47.0344,-20.9837,-20.0,1.039,-920.5,-18410.0,275
bracket_only,15,20.0,2.0,963,562.25,11245.0,0.5839,11.68,0.3811,42.4435,-25.1921,-20.0,1.0374,-1109.75,-22195.0,498
bracket_with_time_stop,15,25.0,2.5,963,495.0,9900.0,0.514,10.28,0.3915,36.7347,-22.8664,-25.0,1.0371,-653.75,-13075.0,313
bracket_with_time_stop,60,25.0,1.5,963,477.25,9545.0,0.4956,9.91,0.4247,33.8295,-24.1137,-25.0,1.0357,-785.75,-15715.0,310
bracket_with_time_stop,15,25.0,2.0,963,442.5,8850.0,0.4595,9.19,0.4123,33.6757,-22.9198,-25.0,1.0342,-858.0,-17160.0,315
bracket_with_time_stop,60,20.0,1.5,963,337.5,6750.0,0.3505,7.01,0.4185,28.0031,-19.5496,-20.0,1.0308,-680.0,-13600.0,257
bracket_only,15,20.0,1.5,963,376.5,7530.0,0.391,7.82,0.432,32.0565,-23.691,-20.0,1.0291,-1077.5,-21550.0,504
bracket_only,15,30.0,2.0,963,662.0,13240.0,0.6874,13.75,0.4019,63.8753,-41.7669,-30.0,1.0275,-2194.5,-43890.0,525
