session_date,entry_timestamp,exit_timestamp,entry_price,exit_price,pnl_points
2017-04-18,2017-04-18 15:30:00,2017-04-18 16:00:00,5378.5,5404.0,25.5
2017-04-19,2017-04-19 15:30:00,2017-04-19 16:00:00,5412.0,5426.5,14.5
2017-04-20,2017-04-20 15:30:00,2017-04-20 16:00:00,5420.0,5418.5,-1.5
2017-04-21,2017-04-21 15:30:00,2017-04-21 16:00:00,5447.0,5439.0,-8.0
2017-04-24,2017-04-24 15:30:00,2017-04-24 16:00:00,5501.25,5503.75,2.5
2017-04-25,2017-04-25 15:30:00,2017-04-25 16:00:00,5524.75,5526.75,2.0
2017-04-26,2017-04-26 15:30:00,2017-04-26 16:00:00,5549.0,5545.75,-3.25
2017-04-27,2017-04-27 15:30:00,2017-04-27 16:00:00,5552.75,5558.25,5.5
2017-04-28,2017-04-28 15:30:00,2017-04-28 16:00:00,5592.75,5580.75,-12.0
2017-05-01,2017-05-01 15:30:00,2017-05-01 16:00:00,5599.75,5605.75,6.0
2017-05-02,2017-05-02 15:30:00,2017-05-02 16:00:00,5637.25,5625.5,-11.75
2017-05-03,2017-05-03 15:30:00,2017-05-03 16:00:00,5628.25,5618.25,-10.0
2017-05-04,2017-05-04 15:30:00,2017-05-04 16:00:00,5621.5,5608.75,-12.75
2017-05-05,2017-05-05 15:30:00,2017-05-05 16:00:00,5637.75,5625.5,-12.25
2017-05-08,2017-05-08 15:30:00,2017-05-08 16:00:00,5646.25,5640.0,-6.25
2017-05-09,2017-05-09 15:30:00,2017-05-09 16:00:00,5662.5,5682.0,19.5
2017-05-10,2017-05-10 15:30:00,2017-05-10 16:00:00,5678.0,5662.75,-15.25
2017-05-11,2017-05-11 15:30:00,2017-05-11 16:00:00,5662.75,5645.25,-17.5
2017-05-12,2017-05-12 15:30:00,2017-05-12 16:00:00,5675.5,5673.75,-1.75
2017-05-15,2017-05-15 15:30:00,2017-05-15 16:00:00,5686.5,5698.75,12.25
2017-05-16,2017-05-16 15:30:00,2017-05-16 16:00:00,5716.25,5716.75,0.5
2017-05-17,2017-05-17 15:30:00,2017-05-17 16:00:00,5682.0,5663.0,-19.0
2017-05-18,2017-05-18 15:30:00,2017-05-18 16:00:00,5580.75,5609.25,28.5
2017-05-19,2017-05-19 15:30:00,2017-05-19 16:00:00,5648.0,5661.75,13.75
2017-05-22,2017-05-22 15:30:00,2017-05-22 16:00:00,5665.5,5684.0,18.5
2017-05-23,2017-05-23 15:30:00,2017-05-23 16:00:00,5717.5,5697.5,-20.0
2017-05-24,2017-05-24 15:30:00,2017-05-24 16:00:00,5723.25,5711.75,-11.5
2017-05-25,2017-05-25 15:30:00,2017-05-25 16:00:00,5753.5,5750.5,-3.0
2017-05-26,2017-05-26 15:30:00,2017-05-26 16:00:00,5782.0,5787.25,5.25
2017-05-30,2017-05-30 15:30:00,2017-05-30 16:00:00,5786.75,5800.0,13.25
2017-05-31,2017-05-31 15:30:00,2017-05-31 16:00:00,5814.0,5773.5,-40.5
2017-06-01,2017-06-01 15:30:00,2017-06-01 16:00:00,5805.25,5797.75,-7.5
2017-06-02,2017-06-02 15:30:00,2017-06-02 16:00:00,5836.0,5836.0,0.0
2017-06-05,2017-06-05 15:30:00,2017-06-05 16:00:00,5881.5,5885.75,4.25
