acct,eval_mnq,funded_mnq,target,cost,life_paid_rate,life_avg_days,life_avg_trader_payout,life_avg_payout_count,mean_net,median_net,p10,p25,p75,profit_prob,ruin_prob,mean_attempts,mean_payouts,first_prob
50,5,7,1000,90,0.2087667161961367,29.919762258543834,2217.9715302491104,2.4644128113879002,1997.802,1620.0,-810,90.0,3870.0,0.7538,0.0716,9.4042,3.1602,0.864
50,5,7,1500,90,0.1760772659732541,34.42533432392273,3662.6582278481014,2.7130801687763713,2126.178,1170.0,-990,-360.0,4410.0,0.668,0.0956,8.6168,2.1494,0.6888
50,5,7,2000,90,0.14970282317979197,39.70059435364042,5337.468982630273,2.965260545905707,1920.96,720.0,-990,-720,3960.0,0.5392,0.122,8.256,1.48,0.5402
50,5,8,1000,90,0.20208023774145617,29.222882615156017,2326.1029411764707,2.5845588235294117,2141.154,1800.0,-810,90.0,3960.0,0.7606,0.0742,9.6194,3.341,0.8664
50,5,8,1500,90,0.18090638930163447,31.581723625557206,3623.100616016427,2.683778234086242,2793.744,1980.0,-990,0.0,5850.0,0.7498,0.0924,9.1134,2.677,0.7732
50,5,8,2000,90,0.15118870728083209,35.452080237741455,5254.054054054054,2.918918918918919,2273.994,900.0,-990,-630,4500.0,0.575,0.1222,8.6214,1.6944,0.5768
50,5,10,1000,90,0.1664190193164933,25.686106983655275,2268.0803571428573,2.5200892857142856,1848.798,1170.0,-990,-180.0,3780.0,0.6812,0.1186,10.4698,3.1012,0.8278
50,5,10,1500,90,0.1537890044576523,27.41010401188707,3482.608695652174,2.579710144927536,2481.984,1440.0,-990,-180.0,5850.0,0.7234,0.139,10.0064,2.5056,0.7636
50,5,10,2000,90,0.13447251114413075,29.88521545319465,5201.1049723756905,2.889502762430939,2814.426,990.0,-990,-720,6210.0,0.6246,0.1606,9.4446,2.0358,0.6272
50,5,12,1000,90,0.16530460624071322,24.823179791976226,2234.8314606741574,2.4831460674157304,1958.778,1530.0,-990,-180.0,3780.0,0.7048,0.1216,10.7638,3.2528,0.8352
50,5,12,1500,90,0.15230312035661217,26.284546805349184,3381.5853658536585,2.504878048780488,2576.952,1620.0,-990,-90.0,5760.0,0.737,0.1396,10.2952,2.5952,0.7778
50,5,12,2000,90,0.13818722139673106,27.057206537890046,4519.354838709677,2.510752688172043,3058.794,1170.0,-990,-630,6660.0,0.711,0.1612,10.0934,2.204,0.7148
50,7,7,1000,90,0.19836552748885586,23.59843982169391,2393.258426966292,2.6591760299625467,2708.424,2880.0,-900.0,630.0,4410.0,0.8166,0.092,11.5284,4.1622,0.8976
50,7,7,1500,90,0.17719167904903418,28.84583952451709,3871.698113207547,2.8679245283018866,2896.416,2115.0,-990,-180.0,5760.0,0.7294,0.1116,10.0996,2.8188,0.7662
50,7,7,2000,90,0.15787518573551262,33.35661218424963,5251.764705882353,2.9176470588235293,2504.7,1170.0,-990,-450,4590.0,0.6062,0.1422,9.434,1.8632,0.6154
50,7,8,1000,90,0.18945022288261515,22.591010401188708,2509.4117647058824,2.788235294117647,2883.006,3240.0,-990,720.0,4500.0,0.8132,0.1054,11.8766,4.391,0.889
50,7,8,1500,90,0.17719167904903418,26.053491827637444,3846.2264150943397,2.849056603773585,3431.178,3060.0,-990,270.0,6210.0,0.7724,0.1208,10.7938,3.2612,0.81
50,7,8,2000,90,0.15601783060921248,29.316864784546805,5215.714285714285,2.8976190476190475,2966.202,1440.0,-990,-450.0,5940.0,0.6328,0.1538,10.0942,2.1526,0.642
50,7,10,1000,90,0.14710252600297177,19.36367013372957,2665.909090909091,2.962121212121212,2614.428,2970.0,-990,-270.0,4410.0,0.7244,0.1808,12.9808,4.203,0.821
50,7,10,1500,90,0.1363298662704309,21.012258543833582,3972.7520435967303,2.9427792915531334,3308.706,2700.0,-990,-450,6120.0,0.7064,0.2012,12.0706,3.2556,0.765
50,7,10,2000,90,0.1311292719167905,23.935364041604753,5552.974504249291,3.084985835694051,3721.626,2250.0,-990,-720,8100.0,0.6658,0.2094,11.0486,2.62,0.6828
50,7,12,1000,90,0.14524517087667163,18.274145616641903,2557.289002557545,2.8414322250639388,2658.114,2970.0,-990,-270.0,4500.0,0.727,0.1858,13.5674,4.3102,0.8226
50,7,12,1500,90,0.13595839524517087,20.040118870728083,3906.1475409836066,2.8934426229508197,3594.366,3330.0,-990,-180.0,6300.0,0.7264,0.1972,12.5296,3.4978,0.7852
50,7,12,2000,90,0.12592867756315007,21.50037147102526,5187.6106194690265,2.882005899705015,3852.612,2340.0,-990,-810,8190.0,0.6952,0.2238,11.7932,2.73,0.7154
