account_size,mll_amount,initial_trail_balance,locked_mll_balance,max_size_micros,nq_multiplier,mnq_equivalent,breached,breach_date,final_balance_or_at_breach,min_buffer,locked,days_survived
25000,1000,26100,25100,20,1.0,10.0,True,2016-01-05,24799.52,-50.32,False,2
25000,1000,26100,25100,20,0.5,5.0,True,2016-01-08,24002.02,-422.9,False,5
25000,1000,26100,25100,20,0.3,3.0,True,2016-01-14,24171.52,-83.43,False,9
25000,1000,26100,25100,20,0.25,2.5,True,2016-01-19,24061.98,-150.48,False,11
25000,1000,26100,25100,20,0.2,2.0,True,2016-01-20,23845.52,-324.45,False,12
25000,1000,26100,25100,20,0.15,1.5,True,2016-01-21,23960.09,-167.38,False,13
25000,1000,26100,25100,20,0.1,1.0,True,2016-02-05,24012.02,-72.96,False,24
25000,1000,26100,25100,20,0.05,0.5,False,,42570.76,354.48,True,2692
50000,2000,52100,50100,40,1.0,10.0,True,2016-01-08,48004.04,-845.8,False,5
50000,2000,52100,50100,40,0.5,5.0,True,2016-01-19,48123.96,-300.96,False,11
50000,2000,52100,50100,40,0.3,3.0,True,2016-01-21,47920.18,-334.77,False,13
50000,2000,52100,50100,40,0.25,2.5,True,2016-01-27,47989.12,-223.34,False,17
50000,2000,52100,50100,40,0.2,2.0,True,2016-02-05,48024.04,-145.93,False,24
50000,2000,52100,50100,40,0.15,1.5,False,,102712.27,63.45,True,2692
50000,2000,52100,50100,40,0.1,1.0,False,,85141.52,708.97,True,2692
50000,2000,52100,50100,40,0.05,0.5,False,,67570.76,1354.48,True,2692
100000,3000,103100,100100,60,1.0,10.0,True,2016-01-14,97238.4,-611.44,False,9
100000,3000,103100,100100,60,0.5,5.0,True,2016-01-20,97113.8,-311.12,False,12
100000,3000,103100,100100,60,0.3,3.0,True,2016-02-05,97036.06,-218.89,False,24
100000,3000,103100,100100,60,0.25,2.5,True,2016-05-05,97181.32,-31.14,False,85
100000,3000,103100,100100,60,0.2,2.0,False,,170283.03,417.94,True,2692
100000,3000,103100,100100,60,0.15,1.5,False,,152712.27,1063.45,True,2692
100000,3000,103100,100100,60,0.1,1.0,False,,135141.52,1708.97,True,2692
100000,3000,103100,100100,60,0.05,0.5,False,,117570.76,2331.21,True,2692
150000,4500,154600,150100,100,1.0,10.0,True,2016-01-19,146247.92,-101.92,False,11
150000,4500,154600,150100,100,0.5,5.0,True,2016-02-04,145565.18,-359.74,False,23
150000,4500,154600,150100,100,0.3,3.0,False,,255424.55,626.9,True,2692
150000,4500,154600,150100,100,0.25,2.5,False,,237853.79,1272.42,True,2692
150000,4500,154600,150100,100,0.2,2.0,False,,220283.03,1917.94,True,2692
150000,4500,154600,150100,100,0.15,1.5,False,,202712.27,2563.45,True,2692
150000,4500,154600,150100,100,0.1,1.0,False,,185141.52,3208.97,True,2692
150000,4500,154600,150100,100,0.05,0.5,False,,167570.76,3574.61,True,2692
